journal_queue_ops,ceph01_ceph-osd.0.asok.txt,ceph01_ceph-osd.1.asok.txt,ceph01_ceph-osd.2.asok.txt,ceph01_ceph-osd.3.asok.txt,ceph01_ceph-osd.4.asok.txt,ceph01_ceph-osd.5.asok.txt,ceph01_ceph-osd.6.asok.txt,ceph01_ceph-osd.7.asok.txt,ceph02_ceph-osd.10.asok.txt,ceph02_ceph-osd.11.asok.txt,ceph02_ceph-osd.12.asok.txt,ceph02_ceph-osd.13.asok.txt,ceph02_ceph-osd.14.asok.txt,ceph02_ceph-osd.15.asok.txt,ceph02_ceph-osd.8.asok.txt,ceph02_ceph-osd.9.asok.txt,ceph03_ceph-osd.16.asok.txt,ceph03_ceph-osd.17.asok.txt,ceph03_ceph-osd.18.asok.txt,ceph03_ceph-osd.19.asok.txt,ceph03_ceph-osd.20.asok.txt,ceph03_ceph-osd.21.asok.txt,ceph03_ceph-osd.22.asok.txt,ceph03_ceph-osd.23.asok.txt,ceph04_ceph-osd.24.asok.txt,ceph04_ceph-osd.25.asok.txt,ceph04_ceph-osd.26.asok.txt,ceph04_ceph-osd.27.asok.txt,ceph04_ceph-osd.28.asok.txt,ceph04_ceph-osd.29.asok.txt,ceph04_ceph-osd.30.asok.txt,ceph04_ceph-osd.31.asok.txt
192,0,0,0,25,0,0,94,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,45,89,0,3,0,0,0,0,1,2
193,0,0,7,24,0,0,1,1,0,0,17,76,0,0,0,0,19,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
194,1,6,0,0,1,4,0,7,4,2,0,0,0,2,3,0,0,0,0,0,3,0,0,0,1,2,1,0,0,6,1,0
195,0,6,0,0,0,0,2,0,0,0,0,0,2,1,78,0,0,0,3,5,0,9,1,7,1,1,0,0,0,4,0,1
196,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,8,0,0,0,7,0,9,0,1,0,0,15,29,0,2,0,4
197,8,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,3,0,0,0,93,2,1,0,0,3,0,0,0
198,0,0,88,115,0,2,0,0,0,0,0,0,0,10,1,0,21,16,1,0,0,1,1,0,0,0,0,7,0,2,2,1
199,0,0,0,1,5,1,0,1,1,2,67,39,0,2,0,0,0,4,1,0,0,0,0,0,0,6,0,1,0,0,0,0
200,9,3,0,0,1,11,0,2,1,0,0,6,1,0,2,0,0,3,0,1,0,0,2,0,0,4,0,0,0,1,1,0
201,4,0,0,0,0,0,1,0,0,0,0,0,2,0,14,92,2,1,1,2,3,1,4,34,0,0,0,0,1,0,0,0
202,4,0,0,0,0,0,0,0,0,5,0,0,1,0,1,0,0,0,0,1,0,1,2,0,0,0,65,10,0,0,0,0
203,0,4,0,1,0,3,0,34,0,3,0,4,0,0,12,0,0,0,0,0,0,0,1,0,2,1,0,0,4,1,1,1
204,0,1,12,145,0,2,0,0,0,0,0,1,0,0,0,0,5,0,1,1,0,9,0,0,0,0,0,0,0,1,0,0
205,2,1,0,2,0,1,0,17,3,0,6,0,1,1,1,5,0,0,2,0,0,0,0,0,0,0,11,0,0,0,2,0
206,0,1,1,0,1,3,2,0,1,0,0,1,0,0,2,1,0,0,0,0,0,1,3,1,0,2,5,0,4,2,1,0
207,0,0,0,0,0,0,0,0,0,1,0,0,1,3,137,58,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0
208,0,0,0,1,4,124,2,0,0,0,0,1,0,0,5,0,0,0,0,0,0,0,0,0,6,4,9,1,1,2,3,2
209,1,1,0,0,0,3,0,2,9,1,0,2,1,7,0,0,1,0,0,1,0,4,0,0,1,1,3,3,0,2,0,6
210,0,1,1,4,0,0,0,1,0,7,0,0,0,0,0,1,0,0,1,0,1,2,2,1,0,1,0,8,0,2,26,0
211,0,1,0,1,0,0,0,0,0,0,188,139,0,0,0,0,0,1,0,3,21,0,1,0,1,1,9,0,3,2,0,0
212,2,0,0,2,0,7,3,0,0,2,1,3,1,14,0,0,0,1,0,0,1,3,0,4,0,1,1,0,1,1,1,1
213,0,9,0,1,0,1,4,6,0,70,0,0,0,8,0,0,0,3,6,1,6,0,0,3,0,0,0,2,1,0,3,1
214,20,1,0,0,3,1,0,0,2,0,0,0,0,0,0,0,1,2,49,9,0,2,0,5,0,0,46,0,1,0,13,0
215,0,0,1,7,3,6,9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,69,74,0,0,0,0,0,0,0,1
216,5,0,1,1,0,1,1,0,0,0,0,7,0,14,0,0,0,0,0,0,8,0,0,1,4,0,0,0,0,0,179,10
217,0,0,0,1,0,0,0,0,4,0,0,0,101,0,0,2,45,0,0,0,0,0,0,2,1,4,0,9,3,1,132,0
218,1,0,0,0,1,5,79,0,0,0,0,0,0,0,37,0,1,2,0,0,1,10,0,0,0,3,0,0,7,0,1,1
219,0,2,0,0,0,0,0,1,0,1,0,0,0,1,10,101,9,0,57,54,0,0,0,0,34,0,0,0,16,1,0,3
220,0,0,2,0,1,0,1,0,6,0,6,2,2,4,1,19,11,7,0,1,0,0,0,2,0,1,0,0,1,0,5,0
221,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,1,0,16,48,0,0,4,5,15,2,0,0
222,0,0,0,0,0,0,0,0,0,0,111,91,0,1,0,1,3,1,1,0,0,9,6,6,0,0,0,0,0,0,89,20
223,0,0,0,0,4,50,0,15,2,0,1,0,0,0,2,0,1,1,0,5,2,0,0,0,1,0,0,0,1,0,0,0
224,0,0,0,0,28,18,6,0,0,4,0,0,0,0,100,91,7,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0
225,6,0,0,0,2,0,0,0,9,0,0,1,2,1,4,0,0,0,76,81,0,0,0,0,8,6,0,7,94,82,0,0
226,0,2,0,0,0,0,0,0,0,14,4,2,1,8,0,0,0,0,0,0,4,0,2,0,6,1,0,0,1,0,0,2
227,2,1,1,9,1,5,0,0,0,0,0,0,1,0,3,0,0,2,12,0,5,4,4,3,0,0,1,0,0,0,0,0
228,0,0,0,0,0,1,0,0,2,1,1,1,0,0,0,0,3,12,15,0,2,1,4,0,0,0,0,10,0,0,0,0
229,12,1,3,0,6,5,0,1,1,8,0,1,0,1,0,3,2,0,0,0,21,15,0,1,0,0,16,1,1,0,0,0
230,0,0,0,0,122,100,0,0,0,1,0,0,0,29,11,1,0,0,0,0,0,1,0,0,0,2,3,0,0,0,0,15
231,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,89,84,0,0,0,14,0,0
232,0,4,1,0,0,0,0,0,0,0,0,0,0,0,4,0,1,2,4,0,1,0,1,2,0,11,0,0,0,0,0,0
233,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,1,2,0,1,11,0,1,2,0,0,0,0,0,0,0,0
234,1,0,0,0,0,0,0,0,0,0,0,3,1,1,0,0,0,0,0,0,28,80,0,0,0,0,64,76,0,0,0,1
235,1,0,0,0,50,112,0,0,1,4,0,0,0,3,70,16,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
236,2,0,1,2,0,0,2,1,2,2,7,0,3,5,4,2,0,5,37,61,0,2,0,0,5,0,0,4,0,0,0,0
237,0,0,0,0,0,1,6,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,7,13,10,0,1,4,1
238,0,0,0,0,1,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,137,0,0
239,0,0,1,0,0,0,9,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
240,0,1,0,1,0,0,0,0,0,0,0,0,0,0,53,8,0,0,0,0,1,1,0,0,0,3,0,1,1,1,2,1
241,3,1,16,8,1,1,3,0,0,6,11,3,0,0,3,0,4,0,0,7,0,0,0,0,1,9,0,0,0,0,0,0
242,0,10,6,0,4,1,12,1,1,43,7,0,3,1,0,9,0,0,0,0,0,0,0,0,6,1,4,0,55,1,1,0
243,0,0,0,6,2,0,0,0,0,0,3,0,0,0,2,0,0,3,5,6,0,0,4,0,0,2,0,0,74,127,0,0
244,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
245,0,0,3,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,9,0,0,1,55,59,0,0,87,26,0,1,2,0
246,4,1,0,1,8,1,8,1,0,0,0,0,0,0,86,71,19,0,0,1,0,11,92,1,0,0,0,1,14,3,0,0
247,0,1,0,6,1,0,1,0,11,0,0,6,2,5,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
248,0,0,0,1,0,10,0,3,1,1,8,1,3,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,12,0,1,0
249,0,3,0,0,0,0,0,0,2,0,0,120,0,0,0,0,1,1,1,0,1,0,0,1,14,0,0,0,36,24,0,0
250,0,1,0,0,0,0,19,68,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,6,1,52,23,0,1,0,0
251,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,10,0,0,4,0,0,0,59,16,0,1,0,3,2,1,2,0
252,1,0,46,37,1,2,1,2,0,1,3,0,2,13,1,3,2,0,0,0,5,0,94,1,0,0,0,0,1,0,0,0
253,0,0,0,1,0,0,0,0,2,4,1,2,16,4,0,1,2,1,0,1,0,0,1,1,0,0,0,1,0,0,0,0
254,2,0,1,0,20,4,12,1,0,0,0,130,1,0,1,0,0,0,0,0,0,0,0,1,0,2,0,6,28,0,2,0
255,0,0,0,0,1,0,0,0,1,2,10,1,0,8,0,0,0,0,1,0,1,0,1,0,0,0,0,0,94,0,0,0
256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,0,0,0,0,0,4,0,0,0,0,6,1,5,4,0
257,0,1,0,0,0,0,6,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,9,2,0,5,0,0,0,0,0,2
258,0,1,39,0,0,0,0,0,0,0,1,0,3,1,1,0,0,0,0,5,0,0,34,7,1,1,0,0,0,0,0,0
259,0,0,0,0,0,0,0,0,0,7,0,0,0,0,2,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,195,170
260,0,0,0,1,1,0,2,2,0,1,42,144,0,3,8,0,0,0,4,0,2,0,7,0,0,1,0,1,2,1,0,6
261,3,1,1,0,0,0,0,0,0,1,0,0,0,0,0,5,0,1,3,0,0,1,0,0,12,0,9,0,20,0,0,0
262,0,0,0,3,0,0,28,13,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,8,1,0,0,0,0,0
263,0,1,1,1,1,0,3,0,2,12,0,0,0,22,0,1,0,0,0,1,0,5,55,0,0,1,0,0,0,4,0,1
264,1,1,0,0,0,0,0,0,0,0,11,7,0,0,0,0,60,0,3,0,3,3,2,0,0,3,2,1,0,0,0,1
265,0,1,7,1,0,0,0,0,1,18,27,55,3,0,8,16,98,1,0,1,0,1,1,0,0,0,0,0,1,0,0,0
266,0,0,0,0,4,0,6,9,70,14,1,7,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
267,0,3,0,0,0,0,0,0,0,4,0,0,0,0,0,1,1,0,0,0,1,0,0,0,10,10,0,1,0,0,10,2
268,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
269,2,0,3,0,0,0,0,0,0,0,36,6,0,0,0,0,6,0,1,0,0,0,0,1,0,3,0,0,0,1,0,0
270,0,1,1,3,2,0,0,0,0,0,0,0,0,0,0,3,109,81,1,0,0,20,3,1,0,0,0,0,0,1,1,0
271,3,0,0,0,24,0,1,1,30,109,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,1,1,4,2
272,1,0,0,4,0,1,0,3,1,0,0,1,0,0,0,2,0,0,1,2,0,0,0,0,43,54,0,2,0,0,0,1
273,0,0,5,0,7,0,10,0,0,0,0,0,0,0,56,47,0,7,0,0,0,0,0,0,0,1,0,1,98,79,1,0
274,1,1,0,6,0,0,0,1,0,0,0,0,0,0,0,0,64,0,0,1,6,0,0,0,1,0,1,4,6,0,6,2
275,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,4,0,4,48,1,0,0,0,0,1,0,4,1,1
276,0,0,0,0,0,0,0,2,0,0,134,34,1,3,0,0,48,6,0,1,7,1,0,11,0,0,1,0,0,1,0,26
277,1,0,3,0,0,0,0,0,79,0,2,0,1,8,0,0,5,0,1,6,2,0,0,1,0,1,0,0,0,1,0,3
278,0,1,0,0,0,0,0,0,0,1,1,1,0,7,115,29,0,0,12,1,0,0,0,0,0,1,1,0,0,2,0,0
279,0,0,0,0,0,3,0,0,3,5,1,0,1,1,0,2,0,4,0,0,1,0,0,0,0,0,1,6,0,0,0,0
280,0,0,0,0,1,0,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,6,59,5,2,0,1,0
281,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,0,0,0,0,0,2,1,0,1,0,5,2,0,4,0
282,1,0,3,0,0,0,52,19,1,0,1,8,0,0,0,1,7,64,88,0,0,0,0,1,0,0,0,1,1,0,1,0
283,0,4,0,1,0,0,0,1,0,27,6,0,0,0,0,1,0,0,0,7,82,0,0,0,3,1,1,0,2,0,0,0
284,0,1,0,1,1,4,2,32,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,11,5,0,1,3,0,1,8
285,0,0,0,0,0,0,0,0,2,2,1,0,0,0,0,1,1,2,3,2,1,0,2,2,0,0,26,3,0,0,0,0
286,0,0,7,13,2,8,1,3,0,0,3,0,0,0,0,1,0,4,0,26,0,6,0,0,0,0,9,0,197,0,0,2
287,8,0,0,0,0,1,2,1,0,0,0,7,21,0,0,10,0,18,3,10,2,0,0,1,32,0,4,1,0,0,0,0
288,0,0,0,1,0,0,0,0,1,0,0,0,2,1,0,0,67,52,0,0,79,22,0,1,0,0,0,0,0,0,1,0
289,0,0,1,0,0,0,2,0,93,76,1,0,0,0,0,6,0,4,0,0,0,0,2,0,47,25,0,0,0,0,60,59
290,0,2,36,0,0,0,2,1,0,2,0,1,0,2,0,4,6,0,1,2,6,2,1,0,0,0,2,1,1,0,1,0
291,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,1,3,8,1,0,2,0,0,0,131,52,0,0
292,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,3,0,2,3,0,4,1,6,0,3,1,23,0,0
293,0,0,1,9,0,0,0,0,0,0,0,0,2,0,0,0,1,1,1,7,3,0,2,3,0,0,0,0,0,0,0,0
294,2,0,0,0,0,1,0,0,0,0,1,0,0,0,4,53,3,0,0,0,0,0,0,0,0,0,0,0,0,0,121,102
295,0,31,0,0,14,12,3,11,0,21,0,6,0,0,0,0,3,0,2,0,0,2,0,1,1,0,0,0,3,0,5,0
296,0,2,0,0,2,1,0,0,102,1,0,1,18,0,0,1,1,0,0,2,4,3,0,0,0,0,5,0,0,5,0,0
297,0,0,0,0,0,0,0,0,0,0,22,18,7,0,0,2,0,1,3,1,0,0,0,2,0,0,0,0,195,0,0,0
298,0,0,0,1,0,2,0,1,6,0,0,0,0,14,0,1,0,0,2,5,3,0,1,3,0,0,7,1,0,1,2,6
299,0,0,89,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,53,0,0,0,0,1,0,0
300,9,1,0,0,0,0,0,0,1,0,1,0,21,0,87,20,0,0,0,0,20,19,0,0,14,0,0,0,0,0,35,42
301,1,0,0,0,28,159,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,2,5,0,0,0,0,0,0,12,0
302,0,0,0,0,3,4,0,17,4,1,0,1,0,0,1,2,0,0,0,0,11,0,0,1,0,0,0,1,0,0,0,0
303,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,4,1,2,1,0,0,0,0,25,174,10,2
304,3,0,92,0,0,0,0,0,0,0,1,1,94,136,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0
305,0,0,33,112,1,0,0,0,0,0,0,0,5,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
306,105,100,1,0,0,4,0,0,0,1,0,0,0,0,0,85,1,1,1,1,0,1,0,3,3,0,0,0,0,0,0,0
307,0,0,0,3,62,51,0,0,8,2,0,1,3,0,0,1,1,5,2,0,0,0,0,6,1,0,0,0,0,0,0,5
308,0,0,0,0,1,141,0,1,7,3,0,0,1,28,3,7,2,1,0,0,0,0,0,0,8,2,0,0,0,0,1,1
309,0,0,1,0,1,0,0,0,0,0,8,0,0,2,0,0,0,3,1,0,1,0,2,1,1,0,2,0,32,51,0,0
310,0,0,91,40,0,0,0,0,0,0,0,0,5,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
311,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,7,0,0,8,0,1,3,0,0,0,0,0,0,1,0,0,0
312,95,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,19,31,0,0,1,0,1,0,0,0,0,0,0,0,0,0
313,0,0,0,0,51,67,2,14,1,7,0,1,0,2,7,3,0,8,0,6,26,0,0,0,2,0,0,0,0,2,0,0
314,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
315,0,1,5,1,0,0,0,5,0,0,0,0,79,30,0,0,0,0,0,0,0,0,0,0,4,13,0,0,15,13,0,0
316,1,0,5,2,1,0,0,1,0,0,0,0,2,0,12,0,0,0,0,0,0,0,1,0,13,1,0,0,1,0,0,0
317,2,0,2,0,0,0,0,0,0,0,1,0,1,0,8,10,0,0,1,6,0,7,1,1,1,0,7,0,0,0,1,0
318,15,0,0,0,1,4,4,0,1,0,0,0,0,0,0,0,24,69,0,2,0,0,0,0,0,0,0,0,4,2,0,1
319,0,0,0,0,38,6,0,0,0,1,1,0,2,0,1,0,1,0,3,6,0,1,0,2,1,0,0,0,0,0,0,0
320,0,0,0,0,1,0,0,0,27,36,0,0,0,2,6,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,5
321,0,0,1,26,0,0,0,21,0,0,1,3,59,0,0,14,0,0,0,0,2,0,0,0,0,1,0,0,0,1,0,0
322,1,0,0,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,126,130,0,0,0,0,0,0,0,1,0,0
323,0,0,0,0,1,0,0,0,2,0,0,0,0,0,3,123,0,0,0,1,1,0,10,111,0,0,0,0,0,0,0,0
324,138,96,0,0,1,0,0,1,0,0,0,0,0,0,0,0,25,53,0,0,0,0,0,0,0,0,0,0,2,0,1,0
325,0,0,0,0,104,117,36,13,0,0,0,2,0,0,0,0,8,15,0,0,0,3,0,0,0,0,0,0,0,1,0,0
326,0,0,0,0,0,0,7,3,0,1,1,1,0,0,0,0,0,0,1,0,0,0,1,2,0,0,0,0,0,0,0,1
327,0,1,0,0,0,6,0,0,4,4,2,0,2,0,1,2,0,0,0,0,3,0,0,0,0,0,2,1,3,1,0,0
328,0,0,0,0,0,0,0,0,0,0,8,0,0,0,74,5,0,1,2,0,0,0,1,0,5,0,0,0,0,0,1,0
329,3,4,2,0,1,5,0,0,0,4,0,10,1,0,25,8,0,2,0,0,0,0,7,5,0,1,0,0,7,0,0,0
330,0,0,1,0,0,6,0,1,0,0,0,0,0,0,0,3,132,132,3,1,0,1,17,1,0,0,0,3,0,0,0,0
331,0,0,2,0,0,6,0,0,0,0,0,0,0,0,1,0,28,187,6,0,0,0,0,4,0,0,21,0,16,56,7,0
332,0,0,0,0,0,0,0,0,0,0,1,0,35,65,0,0,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
333,0,1,0,3,0,6,1,5,0,1,0,8,1,15,2,1,0,0,0,0,0,0,0,0,1,5,0,0,0,6,4,0
334,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,13,1,0,0,0,0,1,0,0,0,0,0
335,1,0,0,0,0,0,0,0,0,0,1,4,0,1,0,2,0,0,0,0,0,0,119,80,0,2,1,0,0,0,0,0
336,4,1,0,0,0,0,0,0,0,0,0,0,120,137,0,0,51,2,0,0,8,0,1,0,0,0,0,0,0,0,0,0
337,0,0,0,0,2,11,83,0,0,3,0,0,9,0,0,0,0,0,3,0,0,0,5,0,76,1,0,0,0,0,0,0
338,0,0,2,2,0,0,0,0,1,0,4,4,33,0,0,0,0,0,0,0,95,95,0,0,0,0,9,0,0,0,21,0
339,0,0,6,4,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
340,0,0,0,0,0,0,0,0,1,1,0,3,0,3,1,0,4,0,0,0,2,0,0,1,0,0,0,0,0,0,2,2
341,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,11,21,0,0,0,0,0,0,0,0,0,0,0,0
342,0,0,0,0,1,0,0,3,0,0,0,0,2,0,0,0,8,0,0,0,0,16,0,0,0,0,0,0,83,96,0,0
343,0,0,0,0,1,0,0,5,0,0,41,0,1,0,0,0,0,1,0,0,62,28,0,0,3,0,1,1,0,0,53,2
344,0,0,0,0,0,0,0,0,12,1,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,1,0,0,0,0
345,0,2,0,25,0,26,20,0,0,1,0,4,0,1,0,0,0,5,0,0,0,0,0,0,0,0,7,125,0,0,38,0
346,0,1,3,4,0,1,5,0,0,1,1,0,1,7,8,6,0,0,0,2,0,1,0,24,14,3,0,0,1,0,0,1
347,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,1,0,0,9,0,0,10,0,0,0,0,0,1,0,0
348,1,1,0,0,0,0,0,3,3,0,3,7,0,0,0,0,41,10,107,95,0,0,0,0,0,11,0,13,7,0,1,3
349,0,1,0,0,5,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,32,51
350,4,3,1,1,4,0,4,4,0,0,1,0,1,0,0,0,0,1,1,0,5,0,0,1,0,12,2,1,1,0,1,1
351,0,1,0,0,2,1,77,0,0,0,0,0,11,0,0,0,0,2,0,1,29,0,0,5,1,0,2,5,0,0,0,2
352,0,0,0,0,0,0,0,68,0,0,0,0,0,15,0,2,0,0,0,0,2,0,5,2,4,1,3,0,0,2,0,0
353,0,0,0,0,0,0,33,38,0,0,1,0,0,0,0,0,0,2,0,20,0,0,3,0,0,1,5,38,37,84,0,0
354,17,27,5,4,0,0,0,1,3,2,12,7,0,1,0,0,0,12,32,0,0,0,0,0,16,4,0,7,0,5,9,0
355,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,1,5,0,0,27,7,15,0,0,0,2,4,0,1,4,25
356,5,0,54,3,0,0,0,0,0,40,0,0,0,0,0,5,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
357,39,5,0,1,0,0,0,1,0,2,2,1,43,13,1,0,0,0,7,1,0,0,1,37,0,0,0,1,0,0,14,8
358,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,1,0,23,0,0,0,0,0,2,7,0,2
359,0,0,0,0,0,0,0,0,0,0,0,22,0,0,2,0,3,0,0,1,0,0,0,4,7,0,2,12,1,1,0,0
360,0,0,0,0,14,174,0,0,0,0,0,0,2,1,0,0,0,0,0,0,24,21,0,0,0,0,0,1,0,0,35,47
361,6,14,0,0,0,2,0,2,0,0,0,1,0,13,0,6,0,0,0,1,0,0,0,0,0,5,4,6,0,0,11,7
362,0,0,61,86,0,0,0,0,0,1,0,0,8,0,1,5,0,0,0,0,1,1,0,16,0,0,0,0,0,0,14,0
363,0,0,0,8,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,5,1,6,0,0,4,0,0,3
364,0,0,0,0,0,0,0,0,1,0,0,6,1,84,0,0,0,0,0,0,0,0,0,0,1,2,0,6,0,0,0,0
365,0,0,0,0,0,0,9,0,2,5,1,0,0,11,1,0,2,15,11,4,0,0,0,0,1,0,0,0,1,0,0,1
366,0,5,0,151,1,0,0,2,44,8,0,0,0,0,1,0,0,4,2,0,71,73,0,0,0,0,0,1,0,0,2,1
367,1,0,0,1,0,0,0,1,0,9,0,2,1,0,1,0,0,10,0,0,0,0,0,0,0,2,0,91,0,0,64,0
368,10,0,0,0,0,0,80,0,0,0,0,2,0,1,0,11,1,0,0,0,0,4,2,1,0,1,0,6,1,1,0,0
369,0,0,0,0,0,0,2,1,0,0,0,0,0,0,3,0,0,4,1,0,0,0,0,0,0,9,7,0,0,0,0,0
370,0,0,0,0,1,0,0,0,0,0,0,2,3,0,0,0,0,0,4,0,0,0,0,0,0,7,1,0,3,0,0,3
371,2,0,0,0,52,18,0,0,0,0,0,0,0,0,0,0,0,0,88,76,0,2,13,1,0,2,3,0,0,0,15,0
372,5,2,0,0,7,5,0,0,7,0,0,0,0,0,0,1,8,44,0,0,13,0,1,0,0,19,58,0,0,0,23,0
373,4,19,0,0,0,0,104,16,82,0,1,0,0,1,0,0,0,1,0,4,1,0,1,3,86,8,0,1,0,5,1,1
374,0,1,3,0,0,1,0,0,3,0,0,0,21,74,0,0,4,0,0,6,0,0,0,0,5,1,1,0,1,0,4,7
375,0,0,0,0,0,0,0,0,0,0,21,186,0,0,0,0,6,2,0,4,67,0,3,1,0,0,0,0,0,0,53,0
376,0,1,6,7,0,0,0,1,1,0,0,0,0,5,0,5,71,89,15,68,5,0,0,0,2,0,0,0,0,0,2,1
377,0,0,0,0,4,58,0,0,0,1,2,1,1,0,1,0,2,0,3,3,0,1,2,1,0,0,83,8,0,1,1,0
378,22,135,0,0,9,0,0,1,17,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,0,1,1,3
379,8,94,1,0,2,5,1,3,0,2,0,0,1,1,0,0,0,0,41,13,0,0,0,0,91,135,0,1,0,0,0,0
380,0,0,0,2,0,1,7,0,0,0,0,27,0,0,0,0,0,0,0,4,1,0,0,3,0,4,26,0,80,47,0,0
381,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,81,0,0
382,0,0,2,26,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,33,33,0,0,0,0
383,0,0,0,0,21,116,0,0,6,33,0,7,0,40,1,0,1,1,0,0,0,0,0,7,0,0,1,0,0,0,0,0
384,56,65,0,0,69,82,0,0,5,1,0,3,2,0,2,1,0,0,0,0,1,0,0,0,0,5,0,0,3,1,2,11
385,0,1,0,0,0,0,2,28,0,1,3,1,3,10,0,0,0,0,0,0,0,0,12,6,0,1,0,0,0,0,0,4
386,0,0,0,0,0,0,1,0,0,1,98,52,0,0,0,0,0,0,1,0,0,1,0,0,3,0,0,0,0,0,0,0
387,0,4,1,1,8,0,0,0,0,0,0,0,1,0,13,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
388,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,2,10,1,0,0,0,3,0,6,0,0,41,0,0,0,0,0
389,0,0,3,5,0,0,0,12,132,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,6,0,1,2,1,0,0
390,25,96,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,38,0,0,0,1,0,1,0,0,0,0,4
391,0,0,0,0,0,0,0,0,0,0,53,12,1,0,0,2,0,0,0,0,0,0,0,0,0,4,1,1,2,13,0,0
392,0,0,0,4,0,1,1,6,0,1,0,0,0,0,0,1,1,4,0,0,0,0,0,0,0,0,0,0,103,113,1,0
393,0,0,0,11,0,0,0,2,11,9,1,2,3,6,0,7,0,0,0,0,0,0,0,3,0,3,112,42,2,2,2,2
