lat,ceph01_volume-0f9251c6-b47b-47cd-8d82-6b9e40dcb47d,ceph01_volume-14df5c45-05ec-4948-8b37-b0a75f45f39f,ceph01_volume-17d8eb9d-b2f0-47c6-ad31-677d68f273b9,ceph01_volume-2325319c-20a4-42bc-a276-a23979295249,ceph01_volume-23d22056-4d10-4ea7-a524-738a10df0ae7,ceph01_volume-2410935d-498e-4e8f-af6a-267ee8652592,ceph01_volume-27c40d03-e47f-4493-a341-ca7b9877096c,ceph01_volume-3a348ac5-c173-4be3-a48b-41863d612a5b,ceph01_volume-3a50cef3-a9e8-4a80-91c5-98650b3ae9cc,ceph01_volume-3d2c8a4a-c251-43db-af53-0c56e925634c,ceph01_volume-3ddbbee3-7fa4-4412-a235-7c06bd55d280,ceph01_volume-46699afd-79a7-4533-b001-0b3d0e48846e,ceph02_volume-4d3fb549-56c0-4b92-8ed2-5c68a0ce7323,ceph02_volume-528ad611-1b5f-467c-94bb-9d12a200ac7d,ceph02_volume-572a1623-8e19-48d2-a446-30d0b70ba1f7,ceph02_volume-5f7be806-1865-4ae4-81c7-fd5c0681c62b,ceph02_volume-63b287ff-773b-4afb-86b1-3be67ce0a368,ceph02_volume-651d9c42-a8a5-48a3-a00e-f28b16334518,ceph02_volume-68876b21-5e5b-4616-a1d4-df8a458be420,ceph02_volume-6f9ee210-882b-4743-8d96-c041085512c1,ceph02_volume-77fddc94-2a92-4018-8862-6cad679f90ba,ceph02_volume-790ba75e-0cb9-4c05-bb1a-5b9dd760b188,ceph02_volume-81137809-6c5c-46ee-82e1-65c37fe79c2f,ceph02_volume-81364064-4601-4015-ac99-51b9064d68b8,ceph03_volume-8646ab1f-ca66-4007-88a8-202664786297,ceph03_volume-89e41357-2136-4563-9422-8b35664430e8,ceph03_volume-9594445c-4de7-43b7-935d-11ac9e565647,ceph03_volume-96bd0904-5227-44fc-b993-d78e5770e887,ceph03_volume-98094404-11f0-4079-8946-ef23d339f614,ceph03_volume-9d114a88-0fbe-4634-b63b-8c21a2f4fecb,ceph03_volume-a4b2ee3d-ea47-4036-8784-b28d803eca52,ceph03_volume-a4c83135-44f6-4343-9564-45f3bc141860,ceph03_volume-a694efda-3177-44fc-925c-e8658af52ba3,ceph03_volume-b6cfbcca-5a67-4b17-aa25-c7c768755e4d,ceph03_volume-b805fad5-325d-4e9b-9364-51514f3c7d9d,ceph03_volume-b80a9d9b-a5fe-4d14-86e6-764dc9b823e7,ceph04_volume-b83d8b50-d0dd-4528-89ef-a2e8ca8474d4,ceph04_volume-c117ee3d-d52c-4034-97d8-53fe9fce41bd,ceph04_volume-c29c35b0-6cab-48c1-b44d-1fa91a46981f,ceph04_volume-c5265c8a-1f4f-4641-80a9-569915133bd7,ceph04_volume-c89efedf-dac7-40dc-9b0e-daf57df871e9,ceph04_volume-d1b62d52-1ed9-4880-9fab-ef3a6911c614,ceph04_volume-e7609d93-cf74-4908-9a07-dad1541298c1,ceph04_volume-ea8d61dc-14a0-4065-b55e-a4bb4bdaa3d7,ceph04_volume-eb7a2798-ea0f-46af-ab9a-f78cd559203d,ceph04_volume-ef064ec8-d1e3-4d72-82a5-7c4ba53c05d0,ceph04_volume-f82e661e-b776-4645-af92-18fd00b66f26,ceph04_volume-fe7cf3bd-7e6c-4fbb-9be9-457c5c2f23e5
73,4990,54963,4174,176839,6417,10950,19995,56495,205797,156683,8993,1150,1212,5979,263167,2135,44741,990,43319,19468,42118,1618,20431,1640,43317,80231,214733,210989,105873,89665,259173,20971,63649,18427,3186,27492,24597,125765,1960,5584,4506,6469,1281,31358,6902,143735,108079,50991
74,33001,7605,6729,10491,4854,8658,8362,3115,13160,10065,3906,11358,7729,5512,13578,11453,3936,7202,12817,19146,6002,6019,5610,11199,6890,13373,20750,13039,11701,6848,7716,19369,30648,2342,7776,29976,19533,6212,6176,3896,11890,12102,4919,39849,10287,13530,11271,3841
75,10169,22622,17258,5686,93445,109352,8931,5044,1083,17026,7235,3455,2105,2150,5532,3507,119682,5641,5747,19229,12294,8627,17199,42852,15630,24006,103384,12211,2491,42540,9005,4596,9549,9968,6278,10105,2882,33416,11792,12037,9430,12255,11522,5803,2402,82286,31302,4691
76,122547,10761,1488,11090,27692,2951,54414,63845,75129,4894,92455,89779,49376,17290,9114,42781,1554,10975,12832,50466,5345,5132,47221,110068,25392,2998,26014,23910,20889,79752,3102,16344,6407,26686,56565,22809,5113,18832,77882,88157,3505,3359,61153,12399,38570,26849,58784,119141
77,27933,6633,16582,3826,4386,39714,6447,3285,23944,4907,1712,12356,8480,13591,53296,58425,9400,9961,3732,11981,9476,1607,4810,1626,21045,6519,19100,14235,16188,4289,5913,9004,40271,16342,6018,5956,16520,3740,7054,11385,26023,16604,18731,1811,18742,3335,2889,3990
78,93767,17120,10340,7540,9824,9936,60024,8713,12828,9815,8868,9780,8044,9025,8707,13111,11414,5814,6734,10148,13177,10704,5494,15540,8021,6825,9311,11801,6263,5474,12149,2193,12792,13909,7217,3794,6795,6895,3896,8559,2709,23606,11221,9804,8549,6483,5971,11305
79,4207,14878,6168,24321,40698,133417,5470,36366,31645,35080,5264,9110,4761,11043,7399,9532,37975,10386,5035,36470,2288,17037,5945,5411,9360,6758,6571,45315,6631,7261,7937,117047,54390,32706,23559,2475,19185,25390,5360,22922,93115,10894,19848,5452,8011,5244,5066,6234
80,10370,5130,7123,7873,8984,6959,2488,4792,6046,4404,6441,10436,7917,6687,6465,9856,7184,5628,5411,9467,10750,12080,7856,11230,6625,10471,7235,5305,10655,4956,5442,3972,7214,8265,10767,10953,10564,9787,10369,6186,6331,6391,6280,3493,7915,5536,8724,9274
81,10450,6273,3913,28450,17162,5297,33683,4574,2754,5600,24583,4054,19000,4689,24034,5363,7658,14223,3104,2069,8556,5192,5748,4817,3319,4041,6454,21000,31848,3545,36053,5720,3295,5684,11412,3913,19457,36737,8200,4915,8016,5527,1958,24986,1504,25632,3404,4815
82,30678,6821,9855,23669,5319,10292,6494,22375,15621,5739,7378,33994,4315,15535,16050,17676,14347,2469,15567,5978,27536,13647,8500,8390,9056,11272,10093,6746,48858,7454,15200,5907,8333,12267,4609,7222,20948,3738,49040,7857,8206,8127,26674,3768,13142,5684,7866,14934
83,8465,4780,5151,1742,6329,5229,4392,25177,4627,11133,6357,34762,9365,3502,29740,7209,4541,19184,13304,5004,4946,29510,33026,8730,7991,6456,3225,4308,14523,9565,1440,10466,13132,6562,7654,5812,14481,3251,34174,4929,5894,11427,6275,6828,4323,5368,5368,2021
84,4350,2947,8526,7748,9233,8890,17863,20658,9640,3876,5366,12142,10949,14347,6628,9022,10339,7117,8609,5436,1508,4308,4972,8774,10433,7008,6534,6774,7200,9217,10219,11175,7912,4951,7858,23453,6879,9454,6362,12859,15480,6102,5949,7612,8121,4537,8085,6022
85,3961,6964,3124,13095,11402,4736,3863,10492,15003,14425,4821,8403,3576,6840,7943,5211,10201,16233,3156,21168,26874,13443,8353,5171,19658,7321,9345,8548,13360,10737,9142,5428,9891,5411,11244,10654,3407,13273,9006,19824,4646,15247,11798,16604,5983,14045,5337,3504
86,13332,7544,7302,5511,6804,11522,6993,7340,46343,7477,7115,6819,15280,9054,3549,4950,5810,11746,8402,8572,13040,10676,25344,15691,6061,6448,5963,8347,11231,4797,4254,4295,9983,2428,9695,12585,15299,8253,3600,7206,8251,14104,6141,4143,7753,50441,46956,9022
87,42177,5661,31026,2579,5891,9802,6742,15768,11709,3910,6032,43700,5764,3095,23184,9648,14669,10660,5822,3056,8124,17700,20659,14112,9682,20036,20243,11590,17368,2930,14748,25474,8097,6164,14825,2216,30959,29229,9189,4893,8785,2790,36831,3051,9968,4821,6726,2792
88,62443,25720,42746,17328,31490,4260,32608,5519,10929,9306,20030,32211,2870,23523,41452,18203,6817,1026,22814,17804,1025,36002,6673,5998,10996,4906,12855,5704,5729,4737,7145,10933,4809,32883,9153,5332,7286,4728,2351,2882,2593,8650,2597,3745,15217,5245,4180,5884
89,6290,6580,7080,5585,27014,9528,8776,13458,4757,10945,6280,9919,6672,5296,8678,7026,2934,8697,7241,4326,5602,6024,5422,6541,10159,6397,4395,16286,4228,6755,8753,10353,5658,7613,4229,21487,4257,22877,9529,5034,10011,4794,12944,10139,15312,5145,9943,8271
90,3181,12964,1371,14817,66278,23159,7425,30989,50909,46564,23803,23781,7331,5834,6497,48906,1146,37144,1711,62082,22477,5469,55726,30407,31829,7484,18359,10632,3228,13738,8017,1811,4588,4178,20094,18277,30398,23291,62699,19631,755,1083,38089,3605,22859,6073,1367,34612
91,11458,6761,4504,3357,5785,5919,54115,18578,11807,9825,3826,6168,9025,6999,17590,5408,6614,4978,7432,11298,15631,14886,13639,8386,16791,8007,22686,23295,5829,6637,8721,5002,12081,10676,2047,1477,16003,4679,35833,12979,13538,2598,8678,5460,5377,8923,7075,21279
92,2238,16670,3129,24380,5486,5458,3070,4736,5072,5271,27307,18881,13121,3019,20861,8012,13885,4140,15408,27240,5693,7319,2574,13623,25964,7477,2570,15592,14692,6838,3814,5568,10452,28246,2916,29250,3458,6540,3932,1847,5559,38551,14306,23832,2084,7123,3557,7086
93,2626,6052,8468,4898,6520,41045,1939,4671,3734,3505,5007,28711,12646,9665,38085,19211,9803,39922,13599,10990,11710,2809,9330,4836,14734,9445,8349,5370,23282,5881,2982,5395,25868,3800,5889,4042,27072,9410,8364,8715,4161,7191,11252,6730,4786,5307,8988,14211
94,4498,27334,3724,3036,39717,11116,5607,7343,5654,5853,2835,3431,34664,2303,6718,2816,5263,26748,29608,35451,5610,1422,6411,2704,24530,3312,26123,24333,14101,6122,47652,6832,1932,28831,25906,24309,3189,6076,3470,3576,6529,24111,28321,40059,5862,2794,5537,2163
95,23613,10682,2961,24818,35319,22082,2512,5219,22846,33004,43290,4401,8363,4434,33914,5631,10087,6595,1830,38906,7440,8287,32074,3630,59574,26023,36556,38109,29217,34942,3905,2746,23681,4691,40634,33469,6208,24166,1771,5395,4959,2588,8286,5423,38577,32627,36608,37145
96,25391,5436,4212,5276,7924,5318,1065,10274,14658,10004,5006,4338,5587,3819,4788,5565,14895,9727,8371,8817,7718,5909,17992,10054,21106,3931,10454,4674,4823,10981,18925,7612,6181,5822,6864,4706,5242,11180,14754,16669,7944,7267,4820,7081,5309,6826,6428,7378
97,9898,6077,9884,5350,6976,6529,4556,5007,9038,8355,7680,3545,5105,9303,11621,12864,6281,4449,12379,11905,1912,23708,5167,6722,8328,6858,9537,10006,5075,4639,5693,6855,6684,5419,16709,15235,10237,7162,17552,3606,7568,7692,6914,10696,6889,10250,8031,12947
98,25518,2445,5476,8798,20401,2446,13071,65758,6454,8218,5052,43228,21700,2148,2178,10940,32307,65062,2838,64928,2622,58252,3277,14074,22476,46746,14949,50516,54419,13731,30382,7165,1651,27335,69780,10271,4166,4539,27684,3167,1777,3468,66972,5961,40668,9143,1863,25744
99,19988,5879,9580,5575,9931,7963,14235,7518,5891,8635,5062,4117,11917,11091,18763,14447,4715,2805,9040,6438,22990,4592,17491,16425,6181,8267,2776,3557,12907,10946,8004,6735,17914,8338,11300,14374,10149,6674,12655,5439,17558,7332,7341,7408,12524,9784,10609,4476
100,2016,5145,30915,3921,29174,29333,34591,1685,15517,9811,4580,4025,19347,26853,15313,9054,2294,25918,34442,5171,2945,3842,9670,4758,6968,5511,11152,2824,40297,23412,11096,1393,14813,5815,16711,26967,43946,11762,9049,46576,48091,6863,4935,9834,2444,2169,2358,31017
101,13106,32187,24279,9800,10027,7319,5718,1944,5001,5304,5037,5035,5528,23626,4920,7414,5757,20023,8866,14623,10686,18254,4742,43776,11363,13361,3651,32004,4922,28251,4506,12766,18015,24108,6456,16863,36034,5990,28198,5544,5341,20745,1572,2661,10206,2358,26286,20923
102,7320,5140,6467,5396,8171,6057,10106,5274,5541,9234,2724,9909,9454,7179,8761,8306,8283,12887,8166,4895,1758,8834,9098,8951,5928,15300,10525,5817,14381,7273,6624,8270,11615,11758,10727,7212,7636,5759,20298,9485,2804,8566,14162,4655,7364,6593,7200,6068
103,10571,3977,5432,4152,1296,6967,9389,4163,26276,27747,30824,5487,4612,13648,5213,7935,22236,2042,19207,4235,3508,4916,8236,8877,12313,7677,2202,5300,23156,26396,19535,13556,7026,1508,9046,27190,13853,4740,14194,9259,3302,8895,5684,18015,28186,4152,20488,21199
104,7702,7833,41022,1243,5693,16283,6085,7156,1913,6420,10971,10273,1778,2771,7943,17906,40155,17297,6751,36988,4081,18386,8027,12134,10127,12979,12713,2893,25341,6798,2420,966,1234,7025,32013,4360,27790,2193,11818,20237,3830,3617,12632,3981,3042,14836,1700,5864
105,6876,31500,19182,21264,38972,41283,8045,4770,34099,8270,2098,2278,4476,17866,7935,6481,4004,5592,5085,9115,6911,40388,32106,5944,47744,29083,43070,39055,4239,2844,3064,32611,40069,7888,22244,29224,7156,2555,9225,28173,22762,5357,13780,5224,3769,3663,32043,1722
106,11540,2262,84480,87474,95564,6955,9447,2887,6026,97150,78218,4702,25920,11024,14827,5539,6534,4706,1479,7021,7611,5163,4340,9752,1762,79799,1103,1483,27765,5348,4683,39216,43374,69439,7248,6173,72154,77952,13966,5629,77572,6724,1099,8343,57675,3880,1376,4538
107,18080,21588,3238,43243,39861,8468,32711,1642,5753,2206,1871,5943,3554,39806,2987,25016,13555,3996,5404,21305,4739,4231,7133,29655,29529,46030,2361,1192,7918,3908,7113,40693,34521,4289,4447,9533,8093,7050,8477,46832,8468,34101,23100,41676,2684,21619,5286,61254
108,7552,8931,36893,2844,10153,26807,4651,3120,1349,15232,1232,5906,2455,23971,5594,16108,37978,36594,36579,3951,2877,5977,8710,4018,2093,6794,1970,2614,3953,55737,5648,12338,2558,42238,1775,16703,5451,6752,15075,5206,3164,5685,5477,36567,6742,6204,6699,1644
109,8571,3040,34873,62135,4386,42016,930,4569,7139,1122,28610,5414,1135,3596,17569,3492,5985,23947,1554,34965,10564,11343,2149,2830,54939,19785,22924,29705,6238,4053,1955,5434,3698,22387,31545,32965,2090,1599,7052,17092,1735,5686,2609,32337,4724,3560,5952,5389
110,11757,8316,11675,19334,7882,4950,6290,13962,4608,4854,8099,30833,9932,8740,12428,6359,9995,5812,5509,16586,38720,13355,5636,5622,11951,10858,9898,10997,7468,10319,7638,7043,6979,17309,11687,33543,9725,8022,4794,7187,16193,13649,7766,8484,7524,7449,17037,27521
111,51645,6249,1292,5549,45497,7671,20798,35210,22167,2259,6438,6741,39636,7768,2934,26317,34873,4663,1461,3140,5906,30206,37034,31952,35576,9915,4505,9993,35645,16079,4626,9867,7100,10005,11599,6032,1261,5840,32242,35098,3687,1685,7973,9570,22692,5751,29626,3693
112,12851,9042,20697,14541,23577,6776,15525,23363,29557,1803,47895,35350,15339,5798,5341,4239,7210,7000,13635,6013,7834,9108,9470,4490,4576,25287,9040,20732,26449,6348,8585,5849,25944,20170,8330,10467,44479,5557,13593,14096,27502,5987,16432,5086,23243,24333,7445,9026
113,2445,6814,11921,13882,6084,10066,5333,22035,10167,11393,6678,10226,6047,3788,11802,9582,7227,39512,11138,3344,8296,5466,5070,4389,6504,7907,12635,9126,10913,2906,12288,8011,12111,4329,4967,5262,3056,5051,7574,5452,4311,8300,5481,6799,7405,5951,7947,3345
114,10294,11100,9416,9283,5280,36922,13730,9478,19696,4178,8835,6207,8263,11277,7949,12723,11759,6748,19510,5992,1471,5564,18668,5605,11449,7520,5023,14238,13128,14205,8173,8494,10545,10055,14439,3093,16261,6587,3783,9870,7042,2667,12474,11702,10227,11882,5853,15205
115,7635,2041,19601,17683,6803,22681,1902,4895,5064,2146,13184,22985,8123,15195,50880,7160,5965,19558,4983,2297,25717,8504,2433,2619,20109,1695,6471,5318,2693,16134,30564,10773,46446,8097,43926,8353,8593,1649,31542,4395,6092,3532,3976,6017,4160,4665,4306,2354
116,4661,14416,12409,13522,10672,25119,11664,5823,13192,2923,11592,2266,12383,7752,10596,6158,3211,21040,5833,15195,5984,14312,11720,4958,9951,4722,14580,13000,23031,7916,8819,8108,28600,11506,7236,2814,17046,13527,6130,10037,11652,20967,8069,10417,8042,8329,7235,13338
117,7077,14772,3407,13533,5142,9875,2053,5603,5884,27481,20558,18461,7652,4221,10911,30699,18263,42231,10150,30753,11065,4865,21116,12456,13022,32021,36607,12915,30886,16717,38170,39292,5332,8605,35928,15829,2757,6816,13565,20845,32774,5213,23391,50953,19109,6435,4805,28641
118,6449,9138,4288,57289,8491,28307,13338,18167,4551,3232,10076,11030,5818,17801,29157,27513,4453,66623,29271,25871,6150,7204,4355,6867,28356,22200,28118,9393,5315,51655,19180,25296,32272,3776,34794,10434,22372,14339,7479,26675,8231,13783,5854,2308,24614,6562,4449,29578
119,14221,6292,6070,4670,6393,3025,7132,4570,6796,4980,5349,1896,9768,2315,28868,6555,21896,3567,7206,1744,2139,26478,18310,10471,14677,2322,2793,16567,48763,5623,36108,2660,3954,5506,14671,5700,1911,12157,18873,22395,52243,53015,2041,5147,2018,5238,7542,4342
120,7934,37780,5575,4131,1116,8327,42651,58630,1775,37884,2074,6037,3243,4061,2056,3166,32399,6152,1859,68609,6716,9207,41875,7519,63063,37740,30885,64815,1745,7368,5478,31272,8641,33626,50167,3388,5756,16668,32994,2177,1753,1646,5325,5965,45366,38664,6900,6535
121,14015,49657,5532,54565,1168,8631,10514,3263,52676,48573,4199,10288,1334,47374,36490,40327,42241,25534,15886,3446,2396,31773,2043,7850,3679,46600,32077,9156,7257,26252,11557,19583,2290,5033,32146,1377,25992,2554,9207,5357,1036,4811,28815,28620,38889,3959,4702,54745
122,6666,26691,7622,20626,1902,24888,4162,10693,40569,2474,7775,26618,2824,26443,28336,3418,50724,3363,5010,28139,7652,7432,5643,5002,4364,3816,852,11636,13424,50433,18599,2951,27758,5925,46222,8559,3806,7430,22924,4559,13042,7060,30241,35468,6373,16071,34268,5988
123,6218,34800,2762,30630,6744,11765,7381,4553,24513,4152,37478,33812,21248,15603,3641,36749,2306,7360,22392,3521,10120,3319,42952,26624,4133,2203,2868,45671,2288,46495,6831,8861,1623,45414,20753,7950,11788,1893,2791,1922,4464,13336,3473,45914,34227,15134,40704,10615
124,3262,11622,19622,26171,5740,4140,49491,2203,4998,3207,3514,38763,47787,12379,2470,2193,5109,34972,19892,5866,7905,2319,22839,1429,3215,37729,3530,8332,3796,4255,17486,14996,13026,7223,22108,4446,34877,5216,4521,5237,5279,7889,5036,1358,8151,16107,6708,5179
125,3624,21755,8918,6283,7568,32409,6829,4512,13281,5706,20481,2500,7061,17567,9276,30655,17934,11993,22585,14399,6693,6869,5442,3742,9470,12456,10978,7576,6222,9994,13787,2445,8021,3807,8594,3697,19574,11599,7815,12476,4878,17351,10643,10751,8244,7191,6928,15709
126,10316,4177,827,47119,45271,8400,4159,6232,47743,50379,5458,7239,8909,47041,2806,63642,38129,10750,6456,6149,18470,13591,48287,2247,6147,50241,42230,6003,6016,8443,6518,1807,6121,1741,48746,5721,8005,50372,13382,51293,4151,12059,1898,19177,2287,6222,2908,8623
127,13522,11793,5354,2568,6677,25691,8547,2741,13580,3599,5239,5897,5558,9199,5656,7876,6653,4140,5559,2679,5553,9564,4619,11788,3657,9844,6634,1851,5783,3721,22113,20716,7547,1789,4995,8562,8172,5676,12049,2189,17370,5450,6123,29797,10559,1541,1956,1456
128,12101,31641,16637,13318,3181,7238,24869,3679,9607,9011,6810,4839,20358,3773,8207,6130,4024,36185,9239,10193,53489,5314,13046,27629,15521,3745,27182,20616,9263,7123,9896,5518,6971,5926,9019,5273,7300,4007,3674,7344,20838,7356,13158,6729,10643,7925,11813,11258
129,14589,11365,4965,6312,5497,10947,3766,46085,2694,11589,2959,11168,14347,5338,7618,7513,3448,6056,11807,19452,52459,5107,10443,3970,8043,21885,15896,22396,16150,16564,27865,40751,5497,2589,2532,46253,34465,5104,18644,3200,26218,31876,6085,5694,3037,5542,41754,4945
130,7656,35328,8711,6894,16353,3083,12883,26336,10306,6845,34386,14596,32195,5796,5723,3467,2728,5802,23599,2796,4707,3742,5066,1691,3647,5244,8376,27999,3808,21714,9095,4473,8682,21582,2848,8119,24614,22365,3908,4032,2844,2662,7248,5938,33604,7166,15803,3532
131,2243,19471,3553,953,1948,4849,16101,1023,3888,2348,46669,20449,27866,1023,1505,4964,27670,17293,8130,37710,1542,2263,13052,29105,16956,3380,1368,6662,22890,3830,6058,13454,1500,18659,19718,34010,16493,1669,32840,5458,9641,8208,35135,4094,4577,22048,7838,4198
132,2914,15147,10181,16390,12192,2155,1352,7007,11641,3805,10250,20585,6229,10106,7942,5950,6463,18359,5302,7019,9703,7370,11169,8733,9441,17632,9371,11353,10635,7929,6219,4776,19853,16932,5116,1790,4816,13263,4664,5301,6904,6473,7615,9577,5208,6658,9750,8852
133,6059,18113,5036,5544,8367,4576,6206,5496,10297,4326,2426,6157,6030,6972,22747,6575,15872,9975,3154,3996,4452,2664,8422,5737,2682,22143,3555,6395,4466,2661,6902,5523,5957,16214,9816,19414,56470,5507,2770,8023,11657,13615,31755,11077,6764,7221,2907,7392
134,6283,8314,10434,7788,5346,8817,24588,10033,9600,8182,14124,11211,4331,10127,10281,17793,5631,4839,8046,5432,4438,3689,8510,11286,8404,10115,23653,13754,6863,10254,10301,9436,8853,18965,7269,46745,20975,7115,10477,10447,8130,8508,6301,7313,12247,8462,8283,11380
135,6950,3772,10876,4378,26156,8532,38965,4025,6042,5616,15213,29034,2854,3638,9907,19121,17140,69216,4903,20634,8311,1987,14819,22897,2798,14476,3729,1487,5330,4584,1250,4249,90225,3923,21979,9125,28830,37357,12794,19839,3300,8489,12545,2203,27864,5149,1887,5931
136,7168,1490,81788,43160,44946,1733,4678,1667,1969,29160,6333,48223,42147,2614,43952,7926,984,6907,45637,22315,3143,1492,44674,55547,2278,5677,2668,2298,6983,25141,2526,1608,11418,1812,3339,6897,2872,26732,6674,1695,4751,3114,744,2973,13137,41452,941,2030
137,4188,6399,7205,17815,6495,9739,2511,6176,8730,11932,6573,6739,4592,11843,14419,13311,6495,14961,7493,11783,11608,7188,7568,9897,13490,11170,8118,12789,7836,6999,10649,4932,5627,9701,10527,8181,7486,3749,4849,13207,13782,11926,14485,10596,4483,8967,7588,10064
138,7880,6685,11347,11161,26111,14909,11475,9175,10036,3946,3596,6102,5236,7932,8300,7803,5336,9251,3975,3639,2426,7430,8622,7851,10930,7743,17486,7032,4545,7283,5416,4396,7633,7648,3625,1590,6602,11502,6269,5491,12173,6875,9872,11426,3827,8918,11962,6447
139,13380,14050,8006,7891,12072,6028,2760,32014,2970,29890,21018,14628,35043,4205,34843,2014,10931,46392,1522,3568,7450,65634,4377,77250,11018,4817,8700,8661,22548,30494,5153,8672,5970,16873,43596,30584,2608,8351,3765,11182,28988,45526,16947,31531,7498,7318,2207,16144
140,7060,15636,6391,16124,3240,15400,4360,22085,16806,8028,6128,24866,2404,5746,24557,22503,5198,4749,21879,8462,19252,5268,12365,17220,9708,6598,7924,17999,12243,19287,28839,11420,8737,23224,17385,16068,6629,28240,17218,17180,35469,47740,22941,15296,28270,7824,2858,31772
141,4757,76316,15888,3917,10447,4454,2222,12134,3434,2218,25103,4855,13579,8165,47402,77128,24829,1522,80179,8067,55483,3278,7027,5703,9220,15412,9884,5673,75553,7427,7216,11071,23220,7638,5308,6563,6848,20799,4308,5183,24422,11493,2781,17195,3100,18807,4927,10902
142,5114,9536,3487,65567,927,4691,30987,3068,8061,35504,51696,7735,5860,7924,37693,959,3266,5825,1537,11380,9477,2042,5144,5809,6165,13110,12110,2126,5563,6324,27498,6879,7280,3572,1250,22249,38973,2302,8453,4794,7881,5579,68919,7140,1144,5783,10484,7254
143,6525,13165,7691,4973,4976,19272,10010,7955,10868,7309,16229,7542,7095,13735,10234,7924,6035,13750,12605,6941,32756,7273,5932,9935,9294,4916,7871,8509,8025,8876,17855,5335,9039,8443,8271,29723,8043,9759,3567,7989,6949,7692,6361,3106,7063,5455,8711,5914
144,35355,5874,29850,9570,2320,11818,9814,11818,11145,3114,7241,33039,3972,3142,3970,13495,20873,13673,2584,16221,1559,56823,29439,8568,4716,23610,3256,20981,4228,15683,6153,7043,8262,4680,11166,7239,1162,8629,8924,26970,10791,29137,7188,11794,9479,8360,11178,10375
145,41131,31216,3324,3121,28897,23085,1675,18373,8805,3665,2714,40381,27504,9271,10115,9289,6080,3042,1022,6116,9773,52802,10545,36910,14813,6053,29709,10758,39480,4122,20228,2827,2120,35940,7366,2995,4599,1542,7509,14628,26697,10870,2644,13759,5058,4691,5196,29145
146,3851,5450,3190,5448,25875,37659,13068,25483,12292,7028,28925,37682,7899,5413,2096,27171,2318,28599,9639,30733,28854,2743,28663,14173,13917,7350,24063,26643,2284,9894,4958,4019,16449,39489,12107,15321,7935,32147,5028,18768,7453,10059,52157,3780,28730,4476,13028,13476
147,11402,28699,24805,40969,48609,7512,9098,42248,6062,35296,10049,21826,6987,28293,40993,32668,53597,18886,70812,68033,26292,6817,12973,29362,23232,7176,37318,25181,4785,31022,32573,11679,23388,14192,4455,6955,2981,48012,2511,24284,38549,23563,52791,39919,66214,41420,6707,4538
148,7361,6019,9396,10467,4097,9739,12296,4623,7039,16425,14447,10253,6119,12229,9344,6386,9945,5824,9258,9835,3335,9265,6443,4514,13339,8789,5916,10073,14311,12062,15051,5486,4793,7613,15532,16047,22408,6562,12063,8934,10379,6453,16221,6192,8359,10740,4003,3150
149,5397,25891,17460,7261,8769,14347,4820,12228,26810,5006,22339,2680,16080,8605,11657,13284,3608,8115,5256,3735,6860,11526,3396,12481,18412,18573,3483,4880,15366,24624,26842,14171,6745,5623,9748,9569,1757,18105,9122,3620,2800,3183,5057,7161,17873,2918,13744,29504
150,4537,1805,6409,2871,69129,5317,8822,21469,1900,10056,3867,3354,64106,7900,49238,3310,27139,6032,75527,7733,18325,17222,4182,3166,18937,17061,7066,20569,19643,11530,14579,41967,7171,5391,20599,28406,9552,2117,1528,11736,3126,14620,16019,23007,11202,13286,25954,7630
151,18185,8871,16051,16000,15516,10104,2037,17300,6637,14174,6710,4679,4738,11755,10099,7865,13168,5820,10724,7458,43825,10381,15848,7381,4151,11966,8619,5047,6579,11931,2268,9022,5240,6147,2974,20566,1949,11565,5433,18772,15066,4081,7057,5905,7387,3303,7944,5099
152,7977,10144,17680,9438,14488,3683,27454,3057,4162,4227,4289,6527,7882,2824,11481,8533,6528,13102,11548,9941,4488,11421,6422,9760,11167,13460,7431,8129,5952,8631,5243,4923,11202,8722,9526,7859,25562,5384,7224,11273,15648,18734,8181,5286,7148,11888,2958,4448
153,17027,7448,8121,9556,12141,6049,6872,10259,6916,9256,6190,7170,5768,7542,8569,8444,7912,3154,16716,11146,8511,3519,5631,11298,7790,18796,9941,8268,6755,9249,6688,9700,11444,9534,8657,6922,7376,6074,6231,4884,4912,10882,5484,11517,7074,8029,8236,10777
154,13945,12794,2251,13880,5951,10371,4786,10681,20978,12145,9441,4807,10590,8332,7239,4842,18448,17043,10276,6268,10037,11593,6460,11361,6481,5894,5404,4710,5245,8518,13874,4157,6815,11212,11023,7779,15248,7851,8042,4961,13924,5884,7974,10351,14484,7199,6248,15543
155,6221,14967,34518,35787,1859,3032,33851,891,4692,51959,6289,2989,2255,4155,1662,3682,54824,39636,3867,4042,5745,956,1383,30405,3367,1895,2032,26131,975,882,4675,4632,1358,1389,52846,5765,2450,2657,5830,7666,42102,16510,62381,2392,42033,2571,3122,3017
156,8349,7866,40721,15737,7938,35220,4249,15702,22946,7663,8781,32905,32417,41929,5517,18368,4419,4935,21652,38389,2119,11660,7218,2236,5631,16954,16288,3043,4181,24407,17953,2666,6016,7141,40313,3636,22602,5131,1715,9452,2086,1563,33060,12250,3239,3404,8656,12911
